,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Connector Types,EV Pricing,CNG Dispenser Num,LPG Nozzle Types
20476,116808,ELEC,public,GPS,40.717153,-73.991869,New York,NY,,,4.0,TESLA,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,
20477,116809,ELEC,public,GPS,40.735082,-73.87067,Queens,NY,,,10.0,TESLA,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,
20480,116814,ELEC,public,GPS,39.910429,-76.700866,York,PA,,,8.0,TESLA,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,
20500,116864,E85,public,200-8,40.858455,-79.91124,Lyndora,PA,,,,,,,
20515,116898,ELEC,public,GPS,42.143714,-71.430358,Medway,MA,,2.0,,J1772,,,
20526,116923,ELEC,public,GPS,43.085186,-77.943321,Bergen,NY,,2.0,,J1772,Free,,
20527,116924,ELEC,public,GPS,43.080709,-77.943679,Bergen,NY,,2.0,,J1772,Free,,
20529,116934,ELEC,public,GPS,40.085793,-75.394275,King of Prussia,PA,,1.0,,J1772,,,
20535,116949,ELEC,public,200-8,42.58622,-72.611534,Greenfield,MA,,1.0,1.0,CHADEMO J1772,Level 2: free; DC fast: fee required,,
20548,116998,ELEC,public,GPS,40.063046,-75.459927,Berwyn,PA,,2.0,,J1772,,,
20549,116999,ELEC,public,GPS,40.059608,-75.466983,Berwyn,PA,,2.0,,J1772,,,
20550,117000,ELEC,public,GPS,40.063929,-75.45733,Berwyn,PA,,2.0,,J1772,,,
20554,117015,CNG,public,200-9,40.812004,-80.078881,Evans City,PA,,,,,,2.0,
20560,117038,E85,public,200-8,40.106383,-75.000045,Philadelphia,PA,,,,,,,
20590,117127,ELEC,public,GPS,40.514382,-75.384347,Coopersburg,PA,,2.0,,J1772,Free,,
20594,117151,ELEC,public,GPS,40.290794,-74.042969,Eatontown,NJ,,2.0,,J1772,,,
20607,117186,ELEC,public,GPS,41.939713,-71.444475,Lincoln,RI,,2.0,,J1772,,,
20622,117234,CNG,private,200-9,40.34129,-76.414672,Lebanon,PA,,,,,,1.0,
20623,117235,ELEC,public,200-9,41.938245,-70.030898,Wellfleet,MA,,4.0,,J1772,,,
20624,117236,ELEC,public,GPS,41.1034697,-75.0396786,Bushkill,PA,,2.0,,J1772,,,
20625,117237,ELEC,private,GPS,41.0964968,-74.9958207,Bushkill,PA,,1.0,,J1772,,,
