,category,model,model_year,manufacturer,fuel,all_electric_range,PHEV_total_range,alternative_fuel_economy_city,alternative_fuel_economy_highway,alternative_fuel_economy_combined,conventional_fuel_economy_city,conventional_fuel_economy_highway,conventional_fuel_economy_combined
502,Sedan/Wagon,AMG GT 53 4MATIC+,2021,Mercedes-Benz,Hybrid Electric,,,,,,20.0,25.0,22.0
503,Sedan/Wagon,CLS 450,2021,Mercedes-Benz,Hybrid Electric,,,,,,23.0,30.0,26.0
504,Sedan/Wagon,CLS 450 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,,,,22.0,29.0,25.0
505,Sedan/Wagon,E 450 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,,,,23.0,30.0,26.0
507,Sedan/Wagon,E 450 4MATIC All-Terrain (wagon),2021,Mercedes-Benz,Hybrid Electric,,,,,,22.0,28.0,24.0
508,Sedan/Wagon,E 450 4MATIC (Convertible),2021,Mercedes-Benz,Hybrid Electric,,,,,,23.0,29.0,25.0
509,Sedan/Wagon,E 450 4MATIC (Coupe),2021,Mercedes-Benz,Hybrid Electric,,,,,,23.0,30.0,25.0
510,Sedan/Wagon,E 450 (Convertible),2021,Mercedes-Benz,Hybrid Electric,,,,,,23.0,30.0,25.0
511,Sedan/Wagon,E 450 (Coupe),2021,Mercedes-Benz,Hybrid Electric,,,,,,23.0,31.0,26.0
512,SUV,GLE 450 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,,,,21.0,26.0,23.0
513,SUV,GLE 580 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,,,,17.0,22.0,19.0
514,SUV,GLS 450 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,,,,20.0,24.0,21.0
515,SUV,GLS 580 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,,,,16.0,21.0,18.0
516,SUV,GLS 600 4MATIC Maybach,2021,Mercedes-Benz,Hybrid Electric,,,,,,15.0,19.0,16.0
517,Sedan/Wagon,S 500 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,,,,20.0,29.0,24.0
518,Sedan/Wagon,S 580 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,,,,17.0,25.0,20.0
519,Sedan/Wagon,S 580 4MATIC Maybach,2021,Mercedes-Benz,Hybrid Electric,,,,,,16.0,24.0,19.0
520,Sedan/Wagon,Cooper SE Countryman ALL4,2021,Mini,Plug-in Hybrid Electric,18.0,,,,73.0,29.0,30.0,29.0
521,Sedan/Wagon,Cooper SE Hardtop 2 door,2021,Mini,Electric,110.0,,115.0,100.0,108.0,,,
522,SUV,Outlander PHEV,2021,Mitsubishi,Plug-in Hybrid Electric,24.0,,,,74.0,26.0,26.0,26.0
523,Sedan/Wagon,Leaf (40 kWh battery pack),2021,Nissan,Electric,149.0,,123.0,99.0,111.0,,,
524,Sedan/Wagon,Leaf (62 kWh battery pack),2021,Nissan,Electric,226.0,,118.0,97.0,108.0,,,
525,Sedan/Wagon,Leaf SV/SL (62 kWh battery pack),2021,Nissan,Electric,215.0,,114.0,94.0,104.0,,,
526,Sedan/Wagon,Polestar 2,2021,Polestar Automotive USA,Electric,233.0,,96.0,88.0,92.0,,,
527,Sedan/Wagon,Polestar I,2021,Polestar Automotive USA,Plug-in Hybrid Electric,52.0,,,,58.0,22.0,31.0,26.0
528,SUV,Cayenne e-Hybrid,2021,Porsche,Plug-in Hybrid Electric,17.0,,,,46.0,20.0,22.0,21.0
529,SUV,Cayenne e-Hybrid Coupe,2021,Porsche,Plug-in Hybrid Electric,17.0,,,,46.0,20.0,22.0,21.0
530,SUV,Cayenne Turbo S e-Hybrid,2021,Porsche,Plug-in Hybrid Electric,15.0,,,,42.0,17.0,20.0,18.0
531,SUV,Cayenne Turbo S e-Hybrid Coupe,2021,Porsche,Plug-in Hybrid Electric,15.0,,,,42.0,17.0,20.0,18.0
532,Sedan/Wagon,Panamera 4 E-Hybrid,2021,Porsche,Plug-in Hybrid Electric,19.0,,,,52.0,21.0,24.0,22.0
533,Sedan/Wagon,Panamera 4 E-Hybrid Executive,2021,Porsche,Plug-in Hybrid Electric,19.0,,,,52.0,21.0,24.0,22.0
534,Sedan/Wagon,Panamera 4 E-Hybrid ST,2021,Porsche,Plug-in Hybrid Electric,19.0,,,,52.0,21.0,24.0,22.0
535,Sedan/Wagon,Panamera 4S E-Hybrid,2021,Porsche,Plug-in Hybrid Electric,19.0,,,,50.0,21.0,23.0,22.0
536,Sedan/Wagon,Panamera 4S E-Hybrid Executive,2021,Porsche,Plug-in Hybrid Electric,19.0,,,,50.0,21.0,23.0,22.0
537,Sedan/Wagon,Panamera 4S E-Hybrid ST,2021,Porsche,Plug-in Hybrid Electric,19.0,,,,50.0,21.0,23.0,22.0
538,Sedan/Wagon,Panamera Turbo S E-Hybrid,2021,Porsche,Plug-in Hybrid Electric,17.0,,,,48.0,18.0,22.0,19.0
539,Sedan/Wagon,Panamera Turbo S E-Hybrid Executive,2021,Porsche,Plug-in Hybrid Electric,17.0,,,,48.0,18.0,22.0,19.0
540,Sedan/Wagon,Panamera Turbo S E-Hybrid ST,2021,Porsche,Plug-in Hybrid Electric,17.0,,,,48.0,18.0,22.0,19.0
541,Sedan/Wagon,Taycan 4S Perf Battery,2021,Porsche,Electric,199.0,,79.0,80.0,79.0,,,
