,station_id,acces_code,latitude,longitude,city,state,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_connector_types,ev_pricing
12507,85682,public,41.980335,-73.990256,Lake Katrine,NY,0,2,1,J1772 J1772COMBO,Free
12509,85684,public,40.447848,-80.01288,Pittsburgh,PA,0,0,2,CHADEMO,Free
12580,85842,private,41.642131,-70.943461,New Bedford,MA,0,8,-1,J1772,-1
12581,85843,private,41.663264,-70.951362,New Bedford,MA,0,3,1,CHADEMO J1772 J1772COMBO,-1
12582,85844,private,41.642692,-70.944747,New Bedford,MA,0,3,-1,J1772,-1
12588,85863,public,41.06311,-73.537068,Stamford,CT,0,2,-1,J1772,-1
12600,85915,public,41.833424,-71.415617,Providence,RI,0,2,-1,J1772,-1
12609,85949,public,42.171859,-73.477728,Hillsdale,NY,0,1,-1,J1772,Free
12618,85963,public,42.499069,-71.119302,Woburn,MA,0,3,1,CHADEMO J1772,Free
12623,85969,public,40.755072,-73.892094,Jackson Heights,NY,0,2,1,CHADEMO J1772 J1772COMBO,Free
12624,85970,public,43.053474,-76.163547,Syracuse,NY,0,2,-1,J1772,Free
12628,85975,public,39.862221,-75.54461,Concordville,PA,0,2,2,CHADEMO J1772 J1772COMBO,Free
12629,85976,public,41.432695,-75.621324,Dunmore,PA,0,2,-1,J1772,Free
12630,85977,public,40.513712,-80.222775,Moon Township,PA,0,2,1,CHADEMO J1772,Free
12723,86169,public,40.826038,-74.108424,Rutherford,NJ,0,3,-1,J1772,-1
12724,86170,public,40.844127,-74.12045,Rutherford,NJ,0,2,-1,J1772,-1
12733,86199,public,42.678984,-73.782529,Albany,NY,0,2,-1,J1772,Free
12734,86200,public,41.852574,-74.139946,Stone Ridge,NY,0,2,-1,J1772,Free
12737,86208,public,41.873621,-71.386872,Pawtucket,RI,0,2,-1,J1772,-1
12743,86243,public,39.938982,-75.141357,Philadelphia,PA,0,2,-1,J1772,-1
12832,86715,public,42.099763,-75.935148,Binghamton,NY,0,2,-1,J1772,Free
12835,86760,public,40.271415,-78.859865,Johnstown,PA,0,1,-1,J1772,-1
12854,86863,public,42.440458,-71.334515,Concord,MA,0,4,-1,J1772,Free
12879,86961,public,41.236062,-76.810549,Muncy,PA,0,1,-1,J1772,-1
13040,87449,private,40.881081,-74.224388,Little Falls,NJ,0,1,1,J1772 J1772COMBO,Free
13069,87570,public,41.647644,-71.259063,Bristol,RI,0,2,-1,J1772,-1
13071,87574,public,40.565018,-74.328801,Woodbridge Township,NJ,0,2,-1,J1772,-1
13096,87612,public,41.089032,-73.456957,Darien,CT,0,2,-1,J1772,-1
13143,87725,public,42.821089,-77.668047,Livonia,NY,0,2,-1,J1772,Free
13172,87838,private,42.3638794,-71.1363167,Allston,MA,0,1,-1,J1772,-1
13173,87839,private,42.379954,-71.118918,Cambridge,MA,0,11,-1,J1772,-1
13174,87840,private,42.374023,-71.112703,Cambridge,MA,0,7,-1,J1772,-1
13175,87841,private,42.364162,-71.118297,Allston,MA,0,8,-1,J1772,-1
13176,87842,private,42.367208,-71.114734,Cambridge,MA,0,1,-1,J1772,-1
13177,87843,private,42.368953,-71.115156,Cambridge,MA,0,2,-1,J1772,-1
13178,87844,private,42.365629,-71.115394,Cambridge,MA,0,13,-1,J1772,-1
13179,87845,private,42.364028,-71.124074,Allston,MA,0,4,-1,J1772,-1
13180,87846,private,42.362936,-71.131848,Allston,MA,0,2,-1,J1772,-1
13181,87847,private,42.362247,-71.128979,Allston,MA,0,2,-1,J1772,-1
13182,87852,public,40.157459,-76.990949,Mechanicsburg,PA,0,2,-1,J1772,-1
13197,87910,private,40.514261,-74.309172,Keasbey,NJ,0,2,-1,J1772,-1
13198,87914,public,40.802658,-73.316725,Dix Hills,NY,0,0,2,CHADEMO,Free
13221,87965,public,40.786973,-74.046449,Secaucus,NJ,0,2,-1,J1772,Free
13225,87983,public,40.79902,-74.058645,Secaucus,NJ,0,1,-1,J1772,-1
13228,87989,public,39.952076,-75.183723,Philadelphia,PA,0,2,-1,J1772,-1
13238,88038,public,41.3729709,-72.9100121,Hamden,CT,0,3,-1,J1772,Free
13254,88085,public,41.400776,-73.284796,Newtown,CT,0,2,-1,J1772,-1
13266,88121,public,40.048523,-74.842584,Burlington,NJ,0,0,1,CHADEMO J1772COMBO,-1
13270,88127,public,44.395347,-72.719512,Waterbury,VT,0,2,-1,J1772,Free
13282,88160,public,40.094623,-75.411867,King of Prussia,PA,0,2,-1,J1772,-1
13283,88161,public,40.092178,-75.41162,King of Prussia,PA,0,2,-1,J1772,-1
13284,88164,public,40.097684,-75.410195,King of Prussia,PA,0,2,-1,J1772,-1
13332,88292,public,40.276372,-74.823103,Ewing Township,NJ,0,2,-1,J1772,-1
13354,88340,public,42.929429,-75.859296,Cazenovia,NY,0,2,-1,J1772,Free
13360,88350,public,41.461895,-72.823192,Wallingford,CT,0,2,-1,J1772,-1
13368,88390,public,40.564547,-75.566426,Allentown,PA,0,1,-1,J1772,-1
13391,88498,public,43.69475,-73.985344,North Creek,NY,1,1,-1,J1772 NEMA520,Free
13399,88517,public,41.53943,-72.800781,Meriden,CT,0,2,-1,J1772,-1
13406,88554,public,41.228653,-73.22464,Trumbull,CT,0,2,-1,J1772,-1
13407,88558,public,41.377767,-73.475576,Danbury,CT,0,1,-1,J1772,-1
13424,88614,public,40.327708,-74.442655,Monroe Township,NJ,0,1,-1,J1772,Free
13504,88785,public,42.385111,-72.527866,Amherst,MA,0,2,-1,J1772,-1
13550,89745,public,41.539218,-72.802667,Meriden,CT,0,3,-1,J1772,Free
13551,89756,public,42.572113,-70.882082,Beverly,MA,0,2,-1,J1772,-1
13557,89777,public,41.766585,-72.674107,Hartford,CT,0,0,1,J1772COMBO,-1
13608,89914,private,43.232936,-75.496866,Rome,NY,0,3,1,J1772 J1772COMBO,Free
13680,91865,public,43.18835,-76.2455,Liverpool,NY,0,2,-1,J1772,Free
13699,91902,public,42.455926,-71.135222,Winchester,MA,0,2,-1,J1772,Free
13853,92116,public,43.235555,-77.061621,Sodus,NY,0,2,-1,J1772,Free
13863,92225,public,41.914513,-71.90989,Putnam,CT,0,2,-1,J1772,-1
13864,92227,public,41.963127,-70.669539,Plymouth,MA,0,2,-1,J1772,-1
13865,92228,public,40.363345,-74.651993,Princeton,NJ,0,2,-1,J1772,-1
13866,92229,public,42.517701,-71.100752,Reading,MA,0,2,-1,J1772,-1
13868,92241,public,40.969269,-73.955252,Closter,NJ,0,2,-1,J1772,-1
13875,92260,public,42.275885,-71.746192,Shrewsbury,MA,0,1,-1,J1772,-1
13929,92466,public,40.793752,-74.059168,Secaucus,NJ,0,1,-1,J1772,-1
13932,92493,public,44.454284,-73.21771,Burlington,VT,0,2,-1,J1772,-1
13934,92502,public,40.906523,-74.071136,Rochelle Park,NJ,0,2,-1,J1772,-1
14188,94389,public,41.784487,-72.747944,West Hartford,CT,0,2,-1,J1772,-1
14218,94517,public,41.711717,-72.608674,Glastonbury,CT,0,2,-1,J1772,-1
14242,94576,public,43.104278,-77.440851,Fairport,NY,0,6,-1,J1772,Free
14245,94595,public,42.313976,-71.187696,Newton,MA,0,2,-1,J1772,-1
14361,94823,public,40.850926,-74.005143,Palisades Park,NJ,0,2,-1,J1772,-1
14363,94826,public,43.09971,-78.939097,Niagara Falls,NY,0,2,-1,J1772,-1
14364,94828,public,42.11978,-75.912473,Binghamton,NY,0,2,-1,J1772,-1
14365,94829,public,41.416405,-73.624373,Brewster,NY,0,4,-1,J1772,-1
14366,94830,public,40.863131,-73.900529,Bronx,NY,0,1,-1,J1772,-1
14367,94831,public,40.737171,-73.949257,Brooklyn,NY,0,10,-1,J1772,-1
14368,94832,public,40.698235,-73.975114,Brooklyn,NY,0,8,-1,J1772,-1
14369,94835,public,44.983225,-73.444864,Champlain,NY,0,2,-1,J1772,-1
14370,94836,public,40.785772,-73.857401,College Point,NY,0,8,-1,J1772,-1
14371,94837,public,41.244889,-73.92333,Cortlandt Manor,NY,0,4,-1,J1772,-1
14372,94838,public,43.319653,-76.698558,Fair Haven,NY,0,2,-1,J1772,-1
14373,94840,public,42.44229,-74.447636,Gilboa,NY,0,2,-1,J1772,-1
14374,94841,public,40.819636,-73.204528,Hauppauge,NY,0,2,-1,J1772,-1
14375,94842,public,40.76828,-73.528019,Hicksville,NY,0,3,-1,J1772,-1
14376,94843,public,42.63465,-76.178589,Homer,NY,0,2,-1,J1772,-1
14377,94844,public,40.696909,-73.816114,Jamaica,NY,0,2,-1,J1772,-1
